,,,,,,,,,,,,,,,,,,,##,"Auto
Gen
FLAG",NET NAME,CATEGORY,POR SETTINGS,,,,,RUNTIME STATUS,,,,ACPI SPACE,,INT HANDLER,MODULAR CARD INFO,,,,COMMENTS
,,,FUNCTIONS,,,,,,(if not GPIO),(if not IN),PAD TYPES,,,,,,GIRQ (for GPIO),,##,,,,"SELECTED
FUN","INTERNAL
PAD",DIR/VAL,INT TYPE,"PIN
POWER",,,,,,,,SLOT,IDX,"PIN
NAME",,
PIN,PIN NAME,PWR RAIL,FUN1,FUN2,FUN3,FUN4,FUN5,FUN6,DEFAULT FUN,DDEFAULT STATE,TYPE1,TYPE2,TYPE3,TYPE4,TYPE5,TYPE6,GROUP,BIT,##,,,,,,,,,G3,S5/S4,S3,S0,GROUP,BIT,,,,,,
E10,GPIOD3/TB1,VCC1,GPIOD3,TB1,,,,,,,PIO,,,,,,GIRQ12,22,##,,EC_AC_PD#,GPIO,GPIO,,O_0,,,,,,,,,,,,,,"EC to select AC or PD to source system. High = AC, Low = PD"
A9,GPIOD4/CR_SIN3/JTAG_TDO1_SWO1,VCC1,GPIOD4,CR_SIN3,JTAG_TDO1_SWO1,,,,,,PIO,,,,,,GIRQ8,21,##,,EC_S5_PWREN,PWRSEQ,GPIO,,O_0,,,,,,,,,,J4,1,,,"To enable system's ALWAYS power rails, high active"
A10,GPIOD5/INTRUDER1#/JTAG_TCK1_SWCLK1,VCC1,GPIOD5,INTRUDER1#,JTAG_TCK1_SWCLK1,,,,,,PIO,,,,,,GIRQ26,2,##,,EC_JTAG_TCK_SWCLK,JTAG,,,,,,,,,,,,,,,,,EC JTAG
H3,GPIOD6/CR_SOUT3/FLM_CSI#,VCC1,GPIOD6,CR_SOUT3,FLM_CSI#,,,,,,PIO,,,,,,GIRQ11,28,##,,GPIOD6,UNUSED,,,,,,,,,,,,,,,,,
F4,GPIOE0/AD10,VCC1,GPIOE0,AD10,,,,,,,PIO,,,,,,GIRQ9,5,##,,CHG_EC_PROCHOT#,BAT_CHG,GPIO,,,BOTH_EDGE,,,,,,GIO0,5,CHG_PROCHOT_Handler,J4,20,GPIO33_25,,"Notify EC that charger is overheating, low active"
F3,GPIOE1/AD7,AVCC,GPIOE1,AD7,,,,,,,PIO,,,,,,GIRQ8,8,##,,EC_ADC_RSVD,GPIO,,,,,PWR_OFF,,,,,,,,J3,16,,,Reserved for ADC
A11,GPIOE2/JTAG_TDI1,VCC1,GPIOE2,JTAG_TDI1,,,,,,,PIO,,,,,,GIRQ26,4,##,,GPIOE2,UNUSED,,,,,,,,,,,,,,,,,
L7,GPIOE3/I2C6_SDA1/I3C1_SDA,VCC1,GPIOE3,I2C6_SDA1,I3C1_SDA,,,,,,PIO,,,,,,GIRQ11,12,##,,HDR_DOCK_IN#,GPIO,GPIO,,INPUT,,,,,,,GIO4,2,,,,,,"To enable system's ALWAYS power rails, high active"
L6,GPIOE4/I2C6_SCL1/I3C1_SCL,VCC1,GPIOE4,I2C6_SCL1,I3C1_SCL,,,,,,PIO,,,,,,GIRQ11,2,##,,EC_1V8_S5_EN,PWRSEQ,GPIO,,O_1,,,,,,,,,,J4,3,,,"To enable system's +1.8V_ALW power rail, high active"
A12,GPIOE5/JTAG_TMS1_SWIO1,VCC1,GPIOE5,JTAG_TMS1_SWIO1,,,,,,,PIO,,,,,,GIRQ8,12,##,,EC_JTAG_TMS_SWIO,JTAG,,,,,,,,,,,,,,,,,EC JTAG
