,,,,,,,,,,,,,,,,,,,##,"Auto
Gen
FLAG",NET NAME,CATEGORY,POR SETTINGS,,,,,RUNTIME STATUS,,,,ACPI SPACE,,INT HANDLER,MODULAR CARD INFO,,,,COMMENTS
,,,FUNCTIONS,,,,,,(if not GPIO),(if not IN),PAD TYPES,,,,,,GIRQ (for GPIO),,##,,,,"SELECTED
FUN","INTERNAL
PAD",DIR/VAL,INT TYPE,"PIN
POWER",,,,,,,,SLOT,IDX,"PIN
NAME",,
PIN,PIN NAME,PWR RAIL,FUN1,FUN2,FUN3,FUN4,FUN5,FUN6,DEFAULT FUN,DDEFAULT STATE,TYPE1,TYPE2,TYPE3,TYPE4,TYPE5,TYPE6,GROUP,BIT,##,,,,,,,,,G3,S5/S4,S3,S0,GROUP,BIT,,,,,,
D10,GPIOC6/SMI#,VCIO,GPIOC6,SMI#,,,,,,,PWR,,,,,,,,##,,EC_USBC_RT_SMB_BUFF_EN,GPIO,GPIO,,OD_0,,,,,,,GIO2,2,,J4,12,GPIO33_22,,EC to enable Re-timer I2C0/SMB1 buffer. Low- disable; high- enable for RT FW Update
F10,GPIOC7/DTR_BOUT/AD11,VCC1,GPIOC7,DTR_BOUT,AD11,,,,,,PWR,,,,,,,,##,,EC_BT_RADIO_DIS,GPIO,GPIO,,O_0,,,,,,,GIO2,1,,J4,19,,,"To disable Bluetooth radio, high active"
F9,GPIOD0/I2C3_SDA0,VCC1,GPIOD0,I2C3_SDA0,,,,,,,PWR,,,,,,,,##,,EC_I2C3_SDA_3V3_EC ,I2C,I2C,,,,,,,,,,,,J6,24,,,EC I2C3 SDA
F8,GPIOD1/I2C3_SCL0,VCC1,GPIOD1,I2C3_SCL0,,,,,,,PWR,,,,,,,,##,,EC_I2C3_SCL_3V3_EC,I2C,I2C,,,,,,,,,,,,J6,20,,,EC I2C3 SCL
E10,GPIOD3/TB1,VCC1,GPIOD3,TB1,,,,,,,PIO,,,,,,GIRQ12,22,##,,GPIOD3,UNUSED,GPIO,,,,,,,,,,,,,,,,
A9,GPIOD4/CR_SIN3/JTAG_TDO1_SWO1,VCC1,GPIOD4,CR_SIN3,JTAG_TDO1_SWO1,,,,,,PIO,,,,,,GIRQ8,21,##,,EC_USBCAM_FW_WP#,GPIO,GPIO,,O_0,,,,,,,GIO4,5,,,,,,"Camera FW update write protect, low active, low for normal operation"
A10,GPIOD5/INTRUDER1#/JTAG_TCK1_SWCLK1,VCC1,GPIOD5,INTRUDER1#,JTAG_TCK1_SWCLK1,,,,,,PIO,,,,,,GIRQ26,2,##,,WLAN_PWREN,GPIO,GPIO,,O_0,,,,,,,GIO4,6,,,,,,"EC to enable WLAN power, high active; "
H3,GPIOD6/CR_SOUT3/FLM_CSI#,VCC1,GPIOD6,CR_SOUT3,FLM_CSI#,,,,,,PIO,,,,,,GIRQ11,28,##,,DBG_CARD_PRSNT#,GPIO,GPIO,,INPUT,,,,,,,GIO0,2,,J4,4,GPIO33_19,,"Reserved.  To notify EC the Debug Card is present,  low active. "
F4,GPIOE0/AD10,VCC1,GPIOE0,AD10,,,,,,,PIO,,,,,,GIRQ9,5,##,,CHG_EC_PROCHOT#,BAT_CHG,GPIO,,,BOTH_EDGE,,,,,,GIO0,5,CHG_PROCHOT_Handler,J4,20,GPIO33_25,,"Notify EC that charger is overheating, low active"
F3,GPIOE1/AD7,AVCC,GPIOE1,AD7,,,,,,,PIO,,,,,,GIRQ8,8,##,,EC_TPNL_PWREN,GPIO,GPIO,,O_0,,,,,,,GIO2,0,,J3,16,,,"EC to enable Touch panel power, high active"
A11,GPIOE2/JTAG_TDI1,VCC1,GPIOE2,JTAG_TDI1,,,,,,,PIO,,,,,,GIRQ26,4,##,,EC_USBCAM_PRIV,GPIO,GPIO,,O_0,,,,,,,GIO4,7,,,,,,USBCAM Privacy. High active.
L7,GPIOE3/I2C6_SDA1/I3C1_SDA,VCC1,GPIOE3,I2C6_SDA1,I3C1_SDA,,,,,,PIO,,,,,,GIRQ11,12,##,,EC_S5_PWREN,PWRSEQ,GPIO,,O_0,,,,,,,,,,J4,1,,,"To enable system's ALWAYS power rails, high active"
L6,GPIOE4/I2C6_SCL1/I3C1_SCL,VCC1,GPIOE4,I2C6_SCL1,I3C1_SCL,,,,,,PIO,,,,,,GIRQ11,2,##,,EC_1V8_S5_EN,PWRSEQ,GPIO,,O_1,,,,,,,,,,J4,3,,,"To enable system's +1.8V_ALW power rail, high active"
A12,GPIOE5/JTAG_TMS1_SWIO1,VCC1,GPIOE5,JTAG_TMS1_SWIO1,,,,,,,PIO,,,,,,GIRQ8,12,##,,EC_FPR_PWREN,GPIO,GPIO,,O_0,,,,,,,GIO3,0,,,,,,"EC to enable Fingerprint power, high active"
D2,GPIOF0/AD9,AVCC,GPIOF0,AD9,,,,,,,PIO,,,,,,GIRQ8,11,##,,EC_DMIC_PWREN,GPIO,GPIO,,O_0,,,,,,,GIO0,4,,J6,15,GPIO33_7,,To enbale CAM DMIC PWR load switch. High active
G3,GPIOF1/AD8,AVCC,GPIOF1,AD8,,,,,,,I,,,,,,,,##,,EC_S0_LED,PWRSEQ,GPIO,,O_0,,,,,,,,,,J6,5,GPIO33_2,,"To light S0 power indicator LED. High active. O_0>>1, follow S0 power EN:  EC_SLP_S3_S0A3#"
F6,GPIOF2/I2C4_SDA1,VCIO,GPIOF2,I2C4_SDA1,,,,,,,PIO,,,,,,GIRQ9,17,##,,PD1_EC_USBC_INT#,GPIO,GPIO,,,BOTH_EDGE,,,,,,,,USBC2_I2C_INT_Handler,J4,18,GPIO33_24,,"To notify EC, USB PD controller0 need service from EC"
F5,GPIOF3/I2C4_SCL1,VCIO,GPIOF3,I2C4_SCL1,,,,,,,PIO,,,,,,GIRQ9,4,##,,PD0_EC_USBC_INT#,GPIO,GPIO,,,BOTH_EDGE,,,,,,,,USBC1_I2C_INT_Handler,J4,17,GPIO33_14,,"To notify EC, USB PD controller0 need service from EC"
E9,GPIOF4/I2C5_SDA1/I3C3_SDA,VHIF,GPIOF4,I2C5_SDA1,I3C3_SDA,,,,,,VBAT,,,,,,,,##,,APU_EC_RESET#,PWRSEQ,GPIO,PU,,BOTH_EDGE,,,,,,,,LPC_RST_Handler,J3,1,,,"APU to reset eSPI slave, low active"
E8,GPIOF5/I2C5_SCL1/I3C3_SCL,VHIF,GPIOF5,I2C5_SCL1,I3C3_SCL,,,,,,PIO,,,,,,GIRQ11,29,##,,KBRST#,PWRSEQ,GPIO,,O_1,,,,,,,,,,J4,5,,,"EC to Warm reset APU, low active"
A2,KSI0/GPIO31/AD15/TRACEDATA3/GP_MOSI,VCC1,KSI0,GPIO31,AD15,TRACEDATA3,GP_MOSI,,KSI0,,PIO,,,,,,GIRQ10,18,##,,SMSC_KSI_0,Keyboard,KSI,PU,,FALLING,,,,,,,,,J3,2,,,Keyboard Scan Matrix Input
A3,KSI1/GPIO30/AD25/TRACEDATA2/GP_CS#,VCC1,KSI1,GPIO30,AD25,TRACEDATA2,GP_CS#,,KSI1,,ANA,,,,,,,,##,,SMSC_KSI_1,Keyboard,KSI,PU,,FALLING,,,,,,,,,J3,4,,,Keyboard Scan Matrix Input
A4,KSI2/GPIO27/TRACEDATA21/AD14,VCC1,KSI2,GPIO27,TRACEDATA21,AD14,,,KSI2,O2ma-Low,PIO,,,,,,GIRQ9,1,##,,SMSC_KSI_2,Keyboard,KSI,PU,,FALLING,,,,,,,,,J3,6,,,Keyboard Scan Matrix Input
B3,KSI3/GPIO26/AD13/TRACEDATA0,VCC1,KSI3,GPIO26,AD13,TRACEDATA0,,,KSI3,,PIO,,,,,,GIRQ11,27,##,,SMSC_KSI_3,Keyboard,KSI,PU,,FALLING,,,,,,,,,J3,8,,,Keyboard Scan Matrix Input
